Date,High,Low,Open,Close,Volume,Adj Close
2018-09-19,27.5,26.5,26.5,27.5,12100,27.5
2018-09-20,27.5,27.0,27.5,27.0,5200,27.0
2018-09-21,28.0,26.5,27.0,27.5,15400,27.5
2018-09-24,28.0,27.0,27.5,27.5,5800,27.5
2018-09-25,28.0,27.0,27.5,27.5,5800,27.5
2018-09-26,27.5,27.0,27.5,27.0,6000,27.0
2018-09-27,28.0,26.700000762939453,27.5,27.0,20900,27.0
2018-09-28,27.5,26.5,27.0,26.5,9200,26.5
2018-10-01,27.5,26.5,26.799999237060547,27.100000381469727,8500,27.100000381469727
2018-10-02,27.600000381469727,27.0,27.0,27.5,7400,27.5
2018-10-03,28.5,27.600000381469727,27.700000762939453,28.100000381469727,13800,28.100000381469727
2018-10-04,29.0,28.0,28.100000381469727,28.399999618530273,14100,28.399999618530273
